봄여름가을겨울 재배,재배 지역,작업기간,작업시기,추천작업1,추천작업2,추천작업3,추천작업4,추천작업5,항목구분,가이드분류,체크리스트,주기유형,간격일,작업분류,비고
촉성재배,,씨뿌림 시,10월 1일~10월 10일,씨뿌림,,,,,작업,,씨뿌림,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
촉성재배,,접목육묘 시,10월 11일~11월 20일,접목,,,,,작업,,접목,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
촉성재배,,씨뿌림·접목육묘 시,10월 상순~11월 중순,씨뿌림,접목,,,,작업메모,,"4~5cm×0.5cm 간격으로 트레이(32·40·50공)에 10a당 2.0~2.5㎗의 씨앗을 뿌리고, 흑종·신토좌 대목에 단근편엽맞접(또는 편엽맞접)으로 접목해주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
촉성재배,,씨뿌림·접목육묘 시,10월 상순~11월 중순,씨뿌림,,,,,가이드,씨뿌림,"4~5cm×0.5cm 간격으로 트레이(32·40·50공)에 심고, 씨앗양은 10a당 2.0~2.5㎗가 기준입니다.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
촉성재배,,씨뿌림·접목육묘 시,10월 상순~11월 중순,접목,,,,,가이드,접목육묘,"대목은 흑종 또는 신토좌를 쓰고, 단근편엽맞접이나 편엽맞접 방법으로 접목해주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
촉성재배,,씨뿌림·접목육묘 시,10월 상순~11월 중순,접목,,,,,가이드,접목육묘,신토좌는 흡비력이 강하므로 비료를 감량해서 시비해주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
촉성재배,,아주심기 시,11월 상순~12월 중순,아주심기,멀칭,,,,작업,,아주심기,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
촉성재배,,아주심기 시,11월 상순~12월 중순,아주심기,멀칭,,,,작업,,멀칭,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
촉성재배,,아주심기 시,11월 상순~12월 중순,아주심기,멀칭,,,,작업메모,,"본잎 3~4매 시기에 이랑 너비 150~180cm, 포기 사이 30~40cm 간격으로 심고, 비닐덮기(멀칭)와 터널재배를 함께 해주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
촉성재배,,아주심기 시,11월 상순~12월 중순,아주심기,,,,,가이드,아주심기 시기·간격,아주심기는 본잎 3~4매 시기에 해주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
촉성재배,,아주심기 시,11월 상순~12월 중순,아주심기,,,,,가이드,아주심기 시기·간격,"이랑 너비 150~180cm, 포기 사이 30~40cm 간격으로 심어주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
촉성재배,,아주심기 시,11월 상순~12월 중순,멀칭,,,,,가이드,멀칭,비닐덮기(멀칭)와 터널재배로 지온을 확보해주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
촉성재배,,본포 관리(생육기),아주심기 후~수확 전,보온 관리,물주기,유인 관리,병해충 방제,,작업,,보온 관리,상시,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
촉성재배,,본포 관리(생육기),아주심기 후~수확 전,보온 관리,물주기,유인 관리,병해충 방제,,작업,,물주기,상시,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
촉성재배,,본포 관리(생육기),아주심기 후~수확 전,보온 관리,물주기,유인 관리,병해충 방제,,작업,,유인 관리,상시,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
