구분,분류,명칭,제공처·저자,식별자·발행정보,엔드포인트/URL,사용 위치,용도,상태,비고
API,기상,"지상(종관, ASOS) 일자료 조회서비스",기상청 (공공데이터포털 data.go.kr),데이터셋 15059093,https://apis.data.go.kr/1360000/AsosDalyInfoService/getWthrDataList,backend/api/asos.py,생육기간 누적 강수(sumRn)·일조(sumSsHr) 및 기온(avgTa/minTa/maxTa) 관측값 조회,사용중,환경변수 ASOS_DALY_SERVICE_KEY. 충주 stnId=127로 200 OK 검증됨
API,기상,단기예보 조회서비스 (VilageFcstInfoService_2.0),기상청 (공공데이터포털),데이터셋 15084084 · operation getVilageFcst,http://apis.data.go.kr/1360000/VilageFcstInfoService_2.0/getVilageFcst,backend/api/weather.py,오늘~+3일 3시간 간격 예보(TMP/POP/PCP/SKY/PTY/WSD),사용중,환경변수 KMA_SERVICE_KEY. LCC 격자변환 공식 계수는 기상청 공식 문서 기준
API,기상,중기예보 조회서비스 (MidFcstInfoService),기상청 (공공데이터포털),operation getMidLandFcst(육상) · getMidTa(기온),https://apis.data.go.kr/1360000/MidFcstInfoService,"backend/api/midfcst.py, backend/api/weekly_fcst.py",발표일 +4~+10일 중기예보. 단기예보와 이어 붙여 '오늘부터 일주일' 구성,사용중,getMidLandFcst와 getMidTa의 regId 체계가 서로 다름(광역권 코드 vs 도시 코드)
API,기상,기상청 API허브 종관기상관측(ASOS) 시간자료 기간조회,기상청 API허브 (apihub.kma.go.kr),kma_sfctm3.php · 1회 최대 720시간(30일),https://apihub.kma.go.kr/api/typ01/url/kma_sfctm3.php,backend/scoring/fetch_hourly_temp.py,사과·배 관측소(영주·안동·문경·거창·천안·광주) 시간별 기온 수집,사용중(수집 스크립트),data.go.kr과 별개 포털이라 인증키(authKey)도 별도
API,토양,농경지화학성 통계정보 (흙토람 SoilExamStat V2),농촌진흥청 국립농업과학원 (공공데이터포털),데이터셋 15144685 · operation getFarmExamPh/Om/Ap/Kal/Cal/Mg/SaInfo,https://apis.data.go.kr/1390802/SoilEnviron/SoilExamStat/V2/{operation},backend/api/soil.py,읍면동 단위 pH·유기물·유효인산 등 농경지 화학성 통계,사용중,필수 파라미터가 STDG_CD(법정동코드 10자리). 평균값이 아니라 지목별 6구간 면적 분포만 반환 → 구간 중앙값 면적가중평균으로 근사
API,토양,"흙토람 토양검정정보 (SoilExam V2, getSoilExamList)",농촌진흥청 국립농업과학원 (공공데이터포털),operation getSoilExamList · 응답 <ELCD> 태그가 EC(dS/m),https://apis.data.go.kr/1390802/SoilEnviron/SoilExam/V2/getSoilExamList,backend/api/soil_ec.py,필지별 실측 토양검정 레코드에서 지역 EC(전기전도도) 평균 산출,사용중,SoilExamStat V2에 EC 항목이 없어 보완용으로 추가. 페이지 파라미터 대소문자 구분(Page_Size/Page_No). 호출량이 많아 quota/429 발생 이력 있음
API,작물 생육,국립원예특작과학원 사과생육품질정보,농촌진흥청 국립원예특작과학원(NIHHS) (공공데이터포털),operation appleGrwnDataList · spciesCode apple01,http://apis.data.go.kr/1390804/Nihhs_Fruit_GrwhInfo/appleGrwnDataList,backend/scoring/fetch_apple_bloom_dates.py,사과 만개일 실측 데이터(2021~2026) 수집 → 개화단계 캘린더 앵커링,사용중(수집 스크립트),"만개일자만 제공하고 발아일자는 없음. 영주·거창만 실측 확보, 나머지 관측소는 근사치"
API,작물 생육,국립원예특작과학원 배 생육품질정보 조회 서비스,농촌진흥청 국립원예특작과학원(NIHHS) (공공데이터포털),operation pearGrwnData · spciesCode pear01(신고)/pear02(원황),https://apis.data.go.kr/1390804/Nihhs_Fruit_Pear_GrwhInfo/pearGrwnData,backend/scoring/fetch_pear_bloom_dates.py,배 발아일·만개일 실측 데이터(2020~2026) 수집 → 개화단계 캘린더 실측 교체,사용중(수집 스크립트),레코드가 <item>이 아니라 <Model> 태그로 옴. 필드명 2026-07-23 --raw 응답으로 검증 완료
API,뉴스,네이버 검색 API - 뉴스,네이버 (developers.naver.com),GET /v1/search/news.json · 헤더 X-Naver-Client-Id/Secret,https://openapi.naver.com/v1/search/news.json,Beomin_web/news_server.py (포트 8001),작물별 농업 뉴스 검색 후 농업 키워드 필터링해 최대 6건 제공,사용중,환경변수 NAVER_NEWS_CLIENT_ID / NAVER_NEWS_CLIENT_SECRET (서버 전용)
API,지도,네이버 지도 API (Maps JS v3 + geocoder 서브모듈),네이버 클라우드 플랫폼,oapi.map.naver.com/openapi/v3/maps.js · ncpKeyId,https://oapi.map.naver.com/openapi/v3/maps.js,Beomin_web/RegionMap.html,지역(시도/시군구/읍면동) 선택 지도 UI,사용중,"Client ID만 클라이언트 노출 허용(콘솔 도메인 제한 필수), Secret은 서버 전용"
API,AI,Anthropic Claude API (Messages),Anthropic,python SDK anthropic 0.120.0 · model claude-opus-5,https://api.anthropic.com (SDK 기본 엔드포인트),backend/chat_server.py (포트 8003),귀농 상담 챗봇 응답 생성 (스트리밍),사용중,"환경변수 ANTHROPIC_API_KEY. 서버 전용, 클라이언트 미노출"
API,토양,토양도 기반 작물별 토양적성 통계정보 (SoilFitStat),농촌진흥청 국립농업과학원 (공공데이터포털),데이터셋 15075890 · getSoilCropFitInfo,https://apis.data.go.kr/1390802/SoilEnviron/SoilFitStat/getSoilCropFitInfo,API_KEYS.md (체크리스트),읍면동 단위 작물별 재배 적성도(적지 면적) — 적합성 점수용 후보,미연동,"first_test 문서 기록상 현재 키에 미등록(""API not found"")으로 호출 실패"
API,토양,비료사용처방 정보,농촌진흥청 국립농업과학원 (공공데이터포털),데이터셋 15075883,https://www.data.go.kr/data/15075883/openapi.do,API_KEYS.md (체크리스트),토양검정값+작물 → 맞춤 시비처방,미연동,"발급 체크리스트에만 존재, 코드 연동 없음"
API,토양,작물별 비료 표준사용량 처방 정보,농촌진흥청 국립농업과학원 (공공데이터포털),데이터셋 15075889,https://www.data.go.kr/data/15075889/openapi.do,API_KEYS.md (체크리스트),작물별 질소·인산·칼리 표준 사용량,미연동,"발급 체크리스트에만 존재, 코드 연동 없음"
API,기상,농업기상 상세 관측데이터 조회,농촌진흥청 국립농업과학원 (공공데이터포털),데이터셋 15078194,https://www.data.go.kr/data/15078194/openapi.do,API_KEYS.md (체크리스트),토양수분·토양온도·기온·강수량,미연동,"발급 체크리스트에만 존재, 코드 연동 없음"
API,기상,"지상(종관, ASOS) 시간자료 (공공데이터포털판)",기상청 (공공데이터포털),데이터셋 15057210,https://www.data.go.kr/data/15057210/openapi.do,API_KEYS.md (체크리스트),시간별 상세 기상,미연동,실제 시간자료는 기상청 API허브(kma_sfctm3.php)로 대체 수집함
API,기상,농작물 주산지 농업기상분석정보,농촌진흥청 국립농업과학원 (공공데이터포털),데이터셋 15108406,https://www.data.go.kr/data/15108406/openapi.do,API_KEYS.md (체크리스트),주산지 기상 + 재해/위험 분석,미연동,"발급 체크리스트에만 존재, 코드 연동 없음"
API,토양,농경지화학성 통계정보 (구 버전 ID),농촌진흥청 국립농업과학원 (공공데이터포털),데이터셋 15075922,https://www.data.go.kr/data/15075922/openapi.do,API_KEYS.md (체크리스트),읍면동 단위 토양 화학성,미연동(대체됨),실제 구현은 V2인 15144685를 사용 — 체크리스트 기록과 코드가 다른 지점
논문,감자 EC,감자 품종별 토양 염농도 임계값 연구,김선 외,"2013, 한국작물학회지 58(2):85-90",,data/processed/작물5종_가중치표_최종.md 4번·3번 섹션 → backend/scoring/reference_data.py,"감자 EC near값 1.2~2.0 dS/m, 위험값 2.4~3.29 dS/m (품종별 임계값 표6). 회귀식 y=-52.6X+275도 동일 논문",채택,회귀식 역산값(near 0.19)은 절편의 물리적 의미 불확실로 폐기하고 원문 표값 채택. 논문 원문 권장치 2.0 dS/m을 대표값으로 사용
논문,배 EC,"녹비작물의 파종시기와 방법이 무농약 배과원의 시기별 토양화학성과 엽내 무기성분, 과실품질에 미치는 영향",임경호 외,"2014, 한국환경농학회지 33(1):9-16",,data/processed/작물5종_가중치표_최종.md 12번 섹션,배 EC near값 1.0 dS/m 이상부터 위험 (무농약 배과원 실측 정상범위 0.2~0.5 dS/m),채택,"별도 프로젝트에서 확보한 자료를 재사용한 것으로, 원문 PDF 재검증은 하지 않음(문서에 명시된 한계)"
논문,배 EC (2차 인용),감귤류 염류 내성 연구,Mass,1993,,data/processed/작물5종_가중치표_최종.md 12번 섹션 (임경호 외 2014를 통한 재인용),1.0 dS/m 임계값의 최초 출처 — 배 연구자들이 과수 일반 기준으로 인용,2차 인용,원문 미확인. 감귤류 연구를 배에 적용한 것이라 직접 근거로 쓰기엔 한계 있음
논문,배 고온,배 고온 한계 35℃ 근거 논문,미상,미상,,data/processed/작물5종_가중치표_최종.md 3번 섹션 표,배 온도 가중치를 5작물 중 최고(40)로 올린 치명도 증거 중 하나,출처 미기재,"⚠️ 문서에 ""고온 35℃(논문)""라고만 적혀 있고 저자·학회지·연도가 기록되어 있지 않음 — 인용 전 원 출처 특정 필요"
논문,상추 시비량,상추 질소 시비량-수량 회귀식 출처,미상,미상,,crop_standards_v2.json (질소_시설) · 작물5종_가중치표_최종.md 4번 섹션,"회귀식 Y = 9.759 - 4.948×X (Y=질소시비량, X=토양EC)",출처 미기재,⚠️ 회귀식만 있고 원 논문 서지정보가 기록되어 있지 않음. 시비량→EC 환산계수가 없어 EC near값으로는 미사용
문헌,재배기술서,농업기술길잡이 6권 「사과」,농촌진흥청,,,"crop_standards_v2.json, 작물5종_가중치표_최종.md 12·14번 섹션",사과 표준 생육지침(온도·토양·일조·시비) / EC near 2.0 dS/m 이하 유지 / pH 목표 6.0~6.5,채택,"""화학성 개선"" 챕터에 EC·pH 수치가 원문 직접 명시"
문헌,재배기술서,농업기술길잡이 13권 「배」,농촌진흥청,,,crop_standards_v2.json,"배 표준 생육지침. pH 6.0~6.5 적정, pH 5.0 이하 과실비대 불량·유부과·조기낙엽",채택,원문에 EC 언급이 없어 EC는 임경호 외(2014) 논문으로 보완
문헌,재배기술서,농업기술길잡이 107권(개정판) 「오이」,농촌진흥청,,,"crop_standards_v2.json, 작물5종_가중치표_최종.md 13번 섹션","오이 표준 생육지침 / EC 생육저해 시작점 모래땅 0.6, 식양토 1.5 dS/m (대표값 1.0 채택)",채택,일부 스캔본 OCR 판독 — 표 판독 정확도가 낮아 서술형 문장 기준을 채택함
문헌,재배기술서,농업기술길잡이 33권 「감자」,농촌진흥청,,,crop_standards_v2.json,"감자 표준 생육지침(pH 알칼리→더뎅이병, 과산성→흑지병 등)",채택,
문헌,재배기술서,농업기술길잡이 23권 「상추」,농촌진흥청,,,"crop_standards_v2.json, 작물5종_가중치표_최종.md 15번 섹션",상추 표준 생육지침 / EC 2.0 dS/m 이하에서 양호한 생육 (잎상추·결구상추 공통),채택,육묘용 상토 기준 1.0~2.0 dS/m(포화점토법)도 함께 기재
문헌,재배기술서,농촌진흥청 농사로 「사과·배·감자·상추·오이 농작업일정」,농촌진흥청 농사로,,,backend/chat_schedule.py,작물별 월간 농작업 일정(챗봇 응답용). 사과·배 개화기는 NIHHS 실측 만개일 평균으로 앵커링,채택,초보자용으로 가공해서 사용
문헌,보험약관,농작물재해보험 과수작물 약관 / 상품구조,NH농협손해보험,,,"작물5종_가중치표_최종.md 5번 섹션, backend/scoring/temperature_duration_rule.py, reference_data.py TEMP_THRESHOLDS_INSURANCE",일소피해(폭염) 공식 기준 = 낮 최고기온 33℃ 이상 연속 2일 → 사과·배 고온 위험 판정,채택(일부 정정),"⚠️ 이전에 쓰던 ""동상해 0℃ 이하 48시간 지속"" 조항은 원문 재검증 결과 존재하지 않아 코드에서 제거됨. 적과 전 봄철은 포괄조항뿐이라 정량기준 없음"
문헌,보도자료,NH농협손해보험 농작물재해보험 상품구조 보도자료,연합뉴스,2026-02-05,,backend/scoring/temperature_duration_rule.py 주석,약관 상품구조(적과 후 7개 특정재해 등) 재검증 근거,채택,약관 원문 대신 보도자료로 확인한 것이라 1차 자료는 아님
문헌,행정기준,농작물재해보험 밭작물 약관 · 손해평가요령,농림축산식품부 / NH농협손해보험,,,작물5종_가중치표_최종.md 5·6번 섹션,오이·감자·상추 재해 판정 기준 확인 시도,확인했으나 미채택,"세 작물은 재해 정의가 정성적 서술뿐이라 정량 near값 확보 실패 → 방법 C(관측 변동폭)로 대체. 약관상 ""상추""는 없고 ""양상추""만 존재"
문헌,고시,밭작물 주산지 고시,농림축산식품부,,,작물5종_가중치표_최종.md 6번 섹션,"감자 near값 산출용 관측소 선정 근거(강원 강릉·평창·홍천, 충남 당진·서산, 전북 김제, 전남 보성, 경남 밀양)",채택,오이·상추는 공식 주산지 고시 품목이 아니어서 농업기술 문헌상 작형별 주산지로 대체
데이터셋,기상,기상자료개방포털 관측소별 일 단위 기상자료,기상청 기상자료개방포털,"2000~2026년, 관측소별 15~26년치 (일조는 6개 관측소가 2016~)",https://data.kma.go.kr,작물5종_가중치표_최종.md 6·9·10·11번 섹션 (방법 C),온도·강수·일조 near값(평균±1SD)·위험값(평균±2SD) 산출의 실측 근거,채택,표준편차 기반 근사치이며 방법 D(공식 재해 인정 기준)보다 신뢰도 한 단계 아래로 취급하도록 문서에 명시
데이터셋,행정,국토교통부 법정동코드 (20250805),국토교통부 / 행정안전부,"CSV, CP949 인코딩",,"국토교통부_법정동코드_20250805.csv, backend/utils/bjd_lookup.py",지역명 → STDG_CD(법정동코드 10자리) 변환. 토양 API 필수 파라미터,사용중,정적 코드표라 API 키 불필요
데이터셋,정책,귀농·농업 정책 목록 (공공서비스 목록 계열),행정안전부 (정부24/보조금24 계열 추정),원본 1671행 → 최종 970행 → policies.json 907건,,Beomin_web/귀농_농업_정책.final.csv → build_policies.py → policies.json,프로필 기반 정책·지원금 매칭,사용중,"⚠️ 컬럼 구성(서비스ID·서비스명·서비스분야·소관기관명·상세조회URL 등)이 공공서비스 목록 표준 스키마와 일치하나, 정확한 데이터셋 출처가 저장소에 기록되어 있지 않음 — 확인 필요"
데이터셋,토양,작물별_토양_화학성_적정범위.csv,출처 미기재,,,"작물5종_가중치표_최종.md 7·8번 섹션, backend/scoring/reference_data.py",오이·감자·상추 유기물·유효인산 가중치 및 pH near값 산출 근거,채택,⚠️ 파일 자체의 출처 기관이 문서에 없음. 컬럼명 pH_최소_1대5로 보아 국립농업과학원 등의 1:5 희석법 기준으로 추정. 사과 행은 없음
데이터셋,기후,climate_clustering_final_v2.csv,기상청 관측자료 가공(자체 제작),,,"작물5종_가중치표_최종.md 4번 섹션(방법 C), data/scripts/clustering.py, data/processed/region_cluster_map.json",지역 기후 클러스터링(6개 기후 클러스터) 및 near값 변동폭 산출,채택,지점 간 비교용 자료를 같은 지점의 연도별 변동폭으로 재해석해 사용
기술문서,API 명세,OPEN API기술명세서_농경지화학성 통계 정보V2_ver1.0.hwp,농촌진흥청 국립농업과학원,ver 1.0,,"backend/api/soil.py 주석, first_test_강수량_일조량_온도.md",pH·유기물·유효인산의 지목별 6구간 경계값 — 면적가중평균 계산의 기준,채택,첫/마지막 개방구간(이하/이상)은 폭이 없어 인접 구간과 같은 폭으로 가정해 중앙값 추정(이 부분만 근사)
기술문서,API 명세,기상청28_중기예보 조회서비스_오픈API활용가이드_241128.docx,기상청,2024-11-28판,,backend/api/midfcst.py 주석,중기예보 오퍼레이션·발표시각(06/18시)·예보기간 규칙,채택,
기술문서,코드표,중기예보_중기기온예보구역코드_2025.12.xlsx,기상청,2025.12판,,"backend/api/midfcst.py, backend/api/midfcst_regions.py",중기예보 regId 구역코드(광역권 A형 / 도시 C형),채택,getMidLandFcst와 getMidTa가 서로 다른 코드 체계를 쓰는 원인
